review_id,rating,text,iso_date,language
Ci9DQUlRQUNvZENodHljRjlvT20xS1kyTmthR2hrYUVvdGRrbEhWRVJDZUc0elVrRRAB,5.0,"De Pure Markt is elke tweede zondag van de maand in het Amstelpark. Het is er heerlijk vertoeven tussen het groen, winkelen, eten, drinken en voor de kinderen is er ook veel te beleven: schilderen, boetseren en een prachtig draaimolentje maken onderdeel uit van de pure markt.",2025-07-13T11:34:22Z,
ChZDSUhNMG9nS0VJQ0FnTUNvajYtUlJBEAE,4.0,"Leuke park om op een mooie lentedag te bezoeken. Je kunt er leuk wandelen, zitten op bankjes, picknicken etc.
Er zijn geen fietsen toegestaan, dus dat is wel fijn dat je rustig kunt lopen zonder omver gereden te worden.

Ooit als klein kind hier geweest bij de pony’s en speelplaats maar dat is nu helemaal verbouwd. Het treintje is er nog wel.

En veel meer horeca bijgekomen in al die jaren.
Een ijskraam, pannenkoekenhuis, café etc.

Parkeren is wel een drama. Ik heb op 3 parkeerplekken moeten kijken voordat we een plekje hadden gevonden en het was super druk in het park. Overal vol en rijen, maar dat hoort er ook bij.

Verder was de toilet bij het treintje erg smerig.

Voor een wandeling en natuur zeker een aanrader.",2025-04-20T20:35:14Z,
ChZDSUhNMG9nS0VNV1dyOUhTaUlyMFNBEAE,5.0,"Wat een pareltje, dit park!
Het Amstelpark verraste me met een levendige markt vol kleurrijke kramen, vintage kimono’s, boeken over bomen, live muziek én Portugese Natas. Alles onder een stralend blauwe lucht, omringd door hoge bomen en fijne mensen.

Ik was uitgenodigd door zoonlief voor Moederdag, en werd verrast met cadeautjes die zó bij mij passen: honing, serranoham, Kitchenfreaks granola, het prachtige boek van Tim Sorber en een kimono van Daniella — stuk voor stuk met liefde uitgezocht.

Een plek waar je mag vertragen, ontdekken en verbinden — precies dat waar Boardroom to Bodhi voor staat.
Een kleine ode aan het alledaagse buitengewone. Ik kom graag terug.",2025-05-12T01:45:21Z,
Ci9DQUlRQUNvZENodHljRjlvT2toRlQwdHlZMGxWZUU5dmVtZFVWalJ1TUdkRWRWRRAB,5.0,"Heel fijn rustig park.
Loop graag een rondje van 30 minuten.
Stamt uit floriade.
Kan me nog herinneren deren dat ik daar geweest ben.
Later de zeeleeuwen en heel veel kippen.
Mooie plek .",2025-06-12T13:43:17Z,
ChdDSUhNMG9nS0VJQ0FnTURvdHRxWmtnRRAB,5.0,"Amstelpark – een verborgen parel in Amsterdam!

Wat een prachtig aangelegd park vol verrassingen! Of je nu jong of oud bent, de monorail is een absolute must – een feestje op zich! Kom je via de hoofdingang binnen, trakteer jezelf dan op een ijsje in de zomer en stap daarna in voor een ritje vol uitzicht.

Voor kids is er een fantastische speeltuin met grote klimrekken en glijbanen, en daarnaast vind je diverse betaalde attracties. Ook aan ontspanning is gedacht: een midgetgolfbaan, een doolhof, regelmatig leuke markten én maar liefst drie restaurants om bij te komen.

En alsof dat nog niet genoeg is: het park heeft ook een kinderboerderij met dieren waar je dichtbij kunt komen – altijd een succes bij de kleintjes!

Een 5-sterren uitje voor het hele gezin!

🌳🚂🍦🧒🎢⛳️迷🐐🐇🍽️",2025-04-24T16:28:43Z,
ChZDSUhNMG9nS0VJQ0FnTURJdzgzX1BnEAE,5.0,"Lekker ruim, heerlijk op een zonnige dag. Geen verkeer uiteraard. Lekker in de natuur maar toch ook genoeg te doen. Parkeren was beetje lastig. Een van de Amstel park parkeerplaatsen was in renovatie.",2025-04-12T15:46:54Z,
Ci9DQUlRQUNvZENodHljRjlvT2toQ1ZWbDJOSEJVUWtVM1NYTkZkR2xsYXpOUlNFRRAB,5.0,Zeer regelmatig wordt hier de Pure Markt (Food trucks en kramen) gehouden met veel verscheidenheid. Een ware aanrader om heen te gaan.,2025-10-12T20:13:01Z,
ChZDSUhNMG9nS0VLR1gzYm5TOTlIYWFREAE,5.0,Een heel mooi park wat rust uitstraalde en bizonder bomen heeften mijn collega's daar hebben gewerkt ccb toen werkvoorziening,2025-05-18T06:28:15Z,
Ci9DQUlRQUNvZENodHljRjlvT201U1ZFNVJWa0kwVVV0amFsRmxUV05MTVZaWWFuYxAB,5.0,Een schitterend onderhouden park waar je fijn kunt wandelen,2025-09-05T06:07:25Z,
Ci9DQUlRQUNvZENodHljRjlvT2tKWFRrdzBWa0pXVjJScmNqUkdkMlJHY2twblJHYxAB,4.0,Gezellig park voor wandelen in de natuur zeker ideale voor Kinderen met  het treintje gaan door het park,2025-10-11T17:41:33Z,
